Ticker,SecurityType,Name,Sector,Industry,Country,Currency,Date,Close
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2023-09-29,75.7961196899414
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2023-10-31,82.42388153076172
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2023-11-30,79.58070373535156
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2023-12-29,70.62322998046875
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2024-01-31,78.382568359375
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2024-02-29,83.28919982910156
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2024-03-28,87.90106201171875
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2024-04-30,88.94705200195312
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2024-05-31,97.59071350097656
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2024-06-28,95.93614959716797
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2024-07-31,91.07705688476562
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2024-08-30,107.537109375
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2024-09-30,106.38652801513672
ACGL,EQUITY,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,USD,2024-10-31,93.7205581665039
